Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
igd_Concat_Linear,512,16,1,1,1024,1024,1,
wgd_Concat_linear,1024,16,1,16,512,1024,1,
