Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
igd_Concat_Linear,512,4,1,1,1024,1024,1,
wgd_Concat_Linear,1024,4,1,4,512,1024,1,
