Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
igd_Concat_Linear,2048,2,1,1,8192,4096,1,
wgd_Concat_Linear,4096,2,1,1,2048,8192,1,
